Theater,TheaterLabel,Sitz,SitzLabel
http://www.wikidata.org/entity/Q122799072,Theaterinsel Rosenheim Das Ensemble,http://www.wikidata.org/entity/Q532859,Prutting
http://www.wikidata.org/entity/Q122799073,Theaterkastl,http://www.wikidata.org/entity/Q259102,Kastl
http://www.wikidata.org/entity/Q122799075,Theaterkiste Pforzen-Leinau,http://www.wikidata.org/entity/Q516343,Pforzen
http://www.wikidata.org/entity/Q122799079,Theaterkreis Biberach/Asch,http://www.wikidata.org/entity/Q552984,Roggenburg
http://www.wikidata.org/entity/Q122799080,TheaterKult Mühlhausen,http://www.wikidata.org/entity/Q572419,Mühlhausen
http://www.wikidata.org/entity/Q122799082,Theaterspielgruppe Uttenhofen,http://www.wikidata.org/entity/Q490319,Pfaffenhofen an der Ilm
http://www.wikidata.org/entity/Q122799084,Theaterspielkreis Attenhofen,http://www.wikidata.org/entity/Q519677,Weißenhorn
http://www.wikidata.org/entity/Q122799085,Theaterspielkreis Pfaffenhofen,http://www.wikidata.org/entity/Q489250,Ilmmünster
http://www.wikidata.org/entity/Q122799087,Theaterspielkreis Saal an der Donau,http://www.wikidata.org/entity/Q503854,Saal an der Donau
http://www.wikidata.org/entity/Q122799088,Theaterstadel im Verein Frohsinn Freising,http://www.wikidata.org/entity/Q59096,Unterschleißheim
http://www.wikidata.org/entity/Q122799090,Theaterstadl Wiedergeltingen,http://www.wikidata.org/entity/Q553734,Wiedergeltingen
http://www.wikidata.org/entity/Q122799091,Theaterteam Helena,http://www.wikidata.org/entity/Q1726,Munich
http://www.wikidata.org/entity/Q122799093,Theatertreff Steinsberg,http://www.wikidata.org/entity/Q491641,Regenstauf
http://www.wikidata.org/entity/Q122799095,"Theaterverein ""Capeau Claque"" Wehringen",http://www.wikidata.org/entity/Q385664,Wehringen
http://www.wikidata.org/entity/Q122799096,"Theaterverein ""Die Gaukler """,http://www.wikidata.org/entity/Q505332,Gemünden am Main
http://www.wikidata.org/entity/Q122799097,"Theaterverein ""Die Insulaner""",http://www.wikidata.org/entity/Q489142,Barbing
http://www.wikidata.org/entity/Q122799098,"Theaterverein ""Die lustigen Truderinger""",http://www.wikidata.org/entity/Q1726,Munich
http://www.wikidata.org/entity/Q122799099,"Theaterverein ""Die Sandhasn""",http://www.wikidata.org/entity/Q524468,Neunkirchen am Sand
http://www.wikidata.org/entity/Q122799100,"Theaterverein ""Klosterstadl"" St. Oswald",http://www.wikidata.org/entity/Q507945,Grafenau
http://www.wikidata.org/entity/Q122799101,"Theaterverein ""Unter Uns""",http://www.wikidata.org/entity/Q503208,Neusäß
http://www.wikidata.org/entity/Q122799102,"Theaterverein ""Volksbühne Oberndorf""",http://www.wikidata.org/entity/Q503794,Oberndorf am Lech
http://www.wikidata.org/entity/Q122799106,Theaterverein Aitrang,http://www.wikidata.org/entity/Q411004,Aitrang
http://www.wikidata.org/entity/Q122799108,Theaterverein Alitzheim,http://www.wikidata.org/entity/Q585507,Gochsheim
http://www.wikidata.org/entity/Q122799109,Theaterverein Altisheim/Leitheim,http://www.wikidata.org/entity/Q505166,Kaisheim
http://www.wikidata.org/entity/Q122799111,Theaterverein Apfeldorf,http://www.wikidata.org/entity/Q522417,Apfeldorf
http://www.wikidata.org/entity/Q122799112,Theaterverein Baar-Ebenhausen,http://www.wikidata.org/entity/Q490463,Baar-Ebenhausen
http://www.wikidata.org/entity/Q122799114,Theaterverein Bayr. Hiasl Osterzell,http://www.wikidata.org/entity/Q505201,Kaltental
http://www.wikidata.org/entity/Q122799116,Theaterverein Biburg,http://www.wikidata.org/entity/Q506614,Diedorf
http://www.wikidata.org/entity/Q122799117,Theaterverein Buch am Buchrain,http://www.wikidata.org/entity/Q526509,Buch am Buchrain
http://www.wikidata.org/entity/Q122799119,Theaterverein Burgspiele Kemnat,http://www.wikidata.org/entity/Q14805,Kaufbeuren
http://www.wikidata.org/entity/Q122799121,Theaterverein d' Veldensteiner Neuhaus-Michelfeld,http://www.wikidata.org/entity/Q523956,Auerbach in der Oberpfalz
http://www.wikidata.org/entity/Q122799122,Theaterverein der Pfadfinder Ottobeuren,http://www.wikidata.org/entity/Q532455,Ottobeuren
http://www.wikidata.org/entity/Q122799124,Theaterverein Diepersdorfer Brettl,http://www.wikidata.org/entity/Q542878,Leinburg
http://www.wikidata.org/entity/Q122799127,Theaterverein Dorfbühne,http://www.wikidata.org/entity/Q515763,Waidhaus
http://www.wikidata.org/entity/Q122799129,Theaterverein D´Oberbeurer Bühne,http://www.wikidata.org/entity/Q14805,Kaufbeuren
http://www.wikidata.org/entity/Q122799130,Theaterverein Eching,http://www.wikidata.org/entity/Q165818,Eching am Ammersee
http://www.wikidata.org/entity/Q122799132,Theaterverein Edelweiß Schnaittach 1927,http://www.wikidata.org/entity/Q520932,Schnaittach
http://www.wikidata.org/entity/Q122799134,Theaterverein Ehenfeld,http://www.wikidata.org/entity/Q502960,Hirschau
http://www.wikidata.org/entity/Q122799135,Theaterverein Erbendorf,http://www.wikidata.org/entity/Q504596,Erbendorf
http://www.wikidata.org/entity/Q122799138,Theaterverein Eurasburg,http://www.wikidata.org/entity/Q507194,Friedberg
http://www.wikidata.org/entity/Q122799139,Theaterverein Förnbach,http://www.wikidata.org/entity/Q490319,Pfaffenhofen an der Ilm
http://www.wikidata.org/entity/Q122799142,Theaterverein Forstern,http://www.wikidata.org/entity/Q511486,Pastetten
http://www.wikidata.org/entity/Q122799143,Theaterverein Frankenried,http://www.wikidata.org/entity/Q512055,Stöttwang
http://www.wikidata.org/entity/Q122799145,Theaterverein Frechenrieden,http://www.wikidata.org/entity/Q527766,Markt Rettenbach
http://www.wikidata.org/entity/Q122799146,Theaterverein Gaimersheim,http://www.wikidata.org/entity/Q528700,Gaimersheim
